Exchange rates,Price,1M,3M,6M,12M,YTD,QTD
EUR-USD,1.08,-2.8,-0.2,0.9,2.4,-1.9,-2.8
EUR-GBP,0.83,0.2,1.2,2.8,4.6,3.9,-0.2
EUR-CHF,0.94,0.9,1.9,4.3,1.0,-1.0,0.4
EUR-JPY,164.45,-2.0,1.5,1.6,-3.5,-5.3,-2.7
EUR-NOK,11.83,-0.5,1.2,-0.6,0.0,-5.2,-0.8
EUR-SEK,11.45,-0.9,2.6,2.0,2.9,-2.7,-1.2
EUR TWI,97.2,1.0,3.0,2.1,0.2,0.4,0.0
EUR-PLN,4.35,-1.9,-1.6,-0.9,2.8,-0.2,-1.6
EUR-HUF,404.02,-2.2,-2.9,-2.8,-4.8,-5.1,-1.7
EUR-CZK,25.24,-0.3,0.5,-0.4,-2.1,-2.1,-0.1
EUR-RON,4.97,0.0,-0.1,0.1,-0.2,0.0,0.1
EUR-TRY,37.17,2.3,-3.5,-5.9,-20.0,-12.5,2.5
EUR-RUB,104.85,-2.0,-12.1,-5.5,-5.5,-4.4,-1.2
