Date,Time,Country,Indicator/Event,Period,UniCredit Estimates,Consensus (Bloomberg),Previous
2025-10-28,15:30,US,Dallas Fed Manuf. Activity (index),Oct,,-9.0,-9.0
2025-10-29,08:00,GE,GfK Consumer Confidence,Nov,-18.0,-20.5,-21.2
2025-10-29,10:30,UK,Mortgage Approvals (thousands),Sep,,,64.9
2025-10-29,14:00,US,S&P/Case-Shiller Home Price Index (% mom),Aug,,,0.3
2025-10-29,15:00,US,JOLTS Job Openings (thousands),Sep,8000.0,7900.0,8040.0
2025-10-29,15:00,US,Conference Board Consumer Confidence,Oct,,98.8,98.7
2025-10-30,07:30,FR,Household Consumption (% mom),Sep,0.1,,0.2
2025-10-30,07:30,FR,Real GDP (% qoq),3Q,0.4,0.2,0.2
2025-10-30,08:30,HU,Real GDP (% yoy),3Q,0.7,0.6,1.5
2025-10-30,09:00,SP,Harmonized CPI (% yoy),Oct,1.6,,1.7
2025-10-30,09:00,SP,Real GDP (% qoq),3Q,0.8,0.6,0.8
2025-10-30,09:00,CZ,Real GDP (% qoq),3Q,0.5,0.5,0.4
2025-10-30,09:00,SZ,KOF Leading Indicator,Oct,106.0,105.0,105.5
2025-10-30,09:55,GE,Unemployment Rate (%),Oct,6.0,6.1,6.0
2025-10-30,09:55,GE,"Unemployment Change (thousands, sa)",Oct,10.0,15.0,17.0
2025-10-30,10:00,IT,Real GDP (% qoq),3Q,0.1,0.3,0.2
2025-10-30,10:00,GE,Real GDP (% qoq),3Q,0.0,-0.1,-0.1
2025-10-30,10:30,PO,Real GDP (% qoq),3Q,0.2,,0.1
2025-10-30,11:00,EMU,European Commission Economic Sentiment (index),Oct,95.5,96.3,96.2
2025-10-30,11:00,EMU,Real GDP (% qoq),3Q,0.2,0.2,0.2
2025-10-30,13:15,US,ADP Employment Index (change thousands mom),Oct,100.0,98.0,143.0
2025-10-30,13:30,US,Real GDP (% qoq annualized),3Q,2.8,3.0,3.0
2025-10-30,13:30,UK,UK Autumn Budget,,,,
2025-10-30,14:00,GE,"Consumer Price Index, CPI (% yoy)",Oct,1.8,1.9,1.6
2025-10-30,15:00,US,Pending Home Sales (% mom),Sep,,,0.6
2025-10-31,,JP,BoJ announces Key Rate (%),Oct,,0.25,0.25
2025-10-31,00:50,JP,Industrial Production (% mom),Sep,,0.8,-3.3
2025-10-31,02:30,CH,Non-manufacturing PMI (index),Oct,,50.5,50.0
2025-10-31,02:30,CH,Manufacturing PMI (index),Oct,,50.1,49.8
2025-10-31,08:45,FR,"Consumer Price Index, CPI (% yoy)",Oct,1.0,1.1,1.1
2025-10-31,10:00,PL,"Consumer Price Index, CPI (% yoy)",Oct,5.0,5.0,4.9
2025-10-31,10:00,IT,Unemployment rate (%),Sep,6.1,6.2,6.2
2025-10-31,11:00,IT,"Consumer Price Index, CPI (% yoy)",Oct,0.8,0.9,0.7
2025-10-31,11:00,EMU,Core CPI (% yoy),Oct,2.6,2.6,2.7
2025-10-31,11:00,EMU,"Consumer price index, CPI (% yoy)",Oct,1.9,1.9,1.7
2025-10-31,11:00,EMU,Unemployment Rate (%),Sep,6.5,6.4,6.4
2025-10-31,13:30,US,PCE Core Inflation (% yoy),Sep,2.6,2.6,2.7
2025-10-31,13:30,US,PCE Core Inflation (% mom),Sep,0.3,0.3,0.1
2025-10-31,13:30,US,Personal Expenditure (% mom),Sep,0.4,0.4,0.2
2025-10-31,13:30,US,Personal Income (% mom),Sep,0.3,0.4,0.2
2025-10-31,13:30,US,Employment Cost Index (% qoq),3Q,0.9,0.9,0.9
2025-11-01,08:30,SZ,"Consumer Price Index, CPI (% yoy)",Oct,0.8,0.8,0.8
2025-11-01,09:30,SZ,Manufacturing PMI (index),Oct,49.5,49.5,49.9
2025-11-01,13:30,US,Non-farm Payrolls (change thousands mom),Oct,100.0,120.0,254.0
2025-11-01,13:30,US,Unemployment Rate (%),Oct,4.2,4.1,4.1
2025-11-01,13:30,US,Average Hourly Earnings (% mom),Oct,0.3,0.3,0.4
2025-11-01,15:00,US,Construction Spending (% mom),Sep,,0.0,-0.1
2025-11-01,15:00,US,ISM Manufacturing Index,Oct,47.5,47.6,47.2
